year,Batting_first_inning,Batting_first_runs,Batting_second_inning,Batting_second_runs
1915,7.0,1.0,8.0,2.0
1916,4.0,2.0,3.0,6.0
1917,14.0,1.0,,0.0
1918,,,,
1919,6.0,4.0,2.0,7.0
1920,,0.0,3.0,17.0
1921,3.0,4.0,1.0,16.0
1922,8.0,8.0,1.0,4.0
1923,4.0,5.0,1.0,2.0
1924,,0.0,8.0,3.0
1925,2.0,5.0,8.0,3.0
1926,4.0,2.0,2.0,1.0
1927,9.0,1.0,2.0,5.0
1928,1.0,3.0,9.0,1.0
1929,7.0,3.0,,0.0
1930,3.0,8.0,1.0,2.0
1931,,0.0,3.0,4.0
1932,9.0,3.0,1.0,4.0
1933,5.0,1.0,1.0,2.0
1934,,0.0,5.0,2.0
1935,1.0,6.0,1.0,1.0
1936,3.0,9.0,2.0,1.0
1937,9.0,1.0,2.0,3.0
1938,9.0,1.0,9.0,2.0
1939,3.0,5.0,,0.0
1940,4.0,1.0,3.0,2.0
1941,,,,
1946,,0.0,6.0,2.0
1947,5.0,6.0,2.0,3.0
1948,,0.0,6.0,1.0
1949,4.0,5.0,2.0,3.0
1950,1.0,8.0,1.0,12.0
1951,2.0,4.0,1.0,7.0
1952,1.0,4.0,1.0,1.0
1953,8.0,3.0,1.0,2.0
1954,7.0,3.0,,0.0
1955,1.0,4.0,6.0,1.0
1956,5.0,2.0,1.0,3.0
1957,9.0,1.0,3.0,3.0
1958,,0.0,2.0,7.0
1959,2.0,8.0,4.0,2.0
1960,5.0,3.0,,0.0
1961,5.0,1.0,,0.0
1962,,0.0,7.0,1.0
1963,1.0,2.0,6.0,1.0
1964,1.0,2.0,,0.0
1965,,0.0,7.0,2.0
1966,3.0,3.0,1.0,1.0
1967,1.0,7.0,7.0,1.0
1968,,0.0,5.0,1.0
1969,1.0,4.0,1.0,2.0
1970,2.0,10.0,2.0,6.0
1971,,0.0,7.0,1.0
1972,2.0,3.0,8.0,1.0
1973,6.0,2.0,1.0,3.0
1974,,0.0,6.0,7.0
1975,2.0,4.0,5.0,5.0
1976,4.0,3.0,1.0,4.0
1977,2.0,1.0,4.0,4.0
1978,3.0,2.0,9.0,3.0
1979,1.0,3.0,1.0,4.0
1980,1.0,4.0,1.0,6.0
1981,,0.0,7.0,2.0
1982,1.0,12.0,3.0,2.0
1983,,0.0,2.0,3.0
1984,1.0,8.0,6.0,4.0
1985,2.0,3.0,4.0,4.0
1986,4.0,3.0,1.0,2.0
1987,1.0,5.0,1.0,2.0
1988,9.0,1.0,,0.0
1989,10.0,2.0,,0.0
1990,4.0,1.0,,0.0
1991,2.0,8.0,1.0,13.0
1992,,0.0,2.0,1.0
1993,4.0,2.0,1.0,3.0
1994,6.0,8.0,2.0,4.0
1995,1.0,1.0,3.0,3.0
1996,1.0,6.0,2.0,3.0
1997,3.0,6.0,5.0,3.0
1998,,0.0,4.0,3.0
1999,1.0,1.0,1.0,14.0
2000,2.0,11.0,2.0,6.0
2001,6.0,2.0,2.0,5.0
2002,5.0,2.0,3.0,7.0
2003,4.0,4.0,2.0,2.0
2004,1.0,10.0,1.0,13.0
2005,1.0,3.0,1.0,5.0
2006,6.0,3.0,1.0,4.0
2007,2.0,4.0,8.0,5.0
2008,1.0,17.0,,0.0
2009,2.0,9.0,1.0,10.0
2010,7.0,1.0,4.0,13.0
2011,,0.0,3.0,11.0
2012,,0.0,4.0,3.0
2013,5.0,4.0,4.0,3.0
2014,2.0,3.0,2.0,4.0
2015,1.0,10.0,3.0,6.0
2016,4.0,7.0,2.0,1.0
2017,1.0,14.0,2.0,4.0
2018,3.0,2.0,1.0,13.0
2019,3.0,5.0,2.0,3.0
2020,,,,
2021,1.0,9.0,2.0,2.0
2022,6.0,1.0,4.0,8.0
2023,1.0,8.0,2.0,2.0
2024,10.0,2.0,10.0,1.0
2025,2.0,3.0,1.0,1.0
